"Landscape","brc.all.raw","brc.allNA","brc.fs.raw","brc.fsNA","brc.nfs.raw","brc.nfsNA","brc.abund.all.raw","brc.abund.allNA","brc.abund.fs.raw","brc.abund.fsNA","brc.abund.nfs.raw","brc.abund.nfsNA","fc_3km","fc_5km"
148,-0.180714285714286,-0.180714285714286,-0.292857142857143,-0.292857142857143,0.0978571428571429,0.182666666666667,0.31960531960532,0.31960531960532,-0.00146575146575147,-0.00146575146575147,0.425225225225225,0.425225225225225,38.525228082667,43.8633703592087
215,-0.0775,-0.0834615384615385,0.105714285714286,0.105714285714286,-0.234285714285714,-0.312380952380952,0.488238238238238,0.488238238238238,0.275954525954526,0.275954525954526,0.390342723676057,0.390342723676057,30.1548457806939,25.231604414757
263,-0.285,-0.38,-0.368928571428571,-0.491904761904762,-0.0242857142857143,-0.0323809523809524,0.784975451642118,0.784975451642118,0.633347633347633,0.633347633347633,0.392344725678059,0.392344725678059,10.1064125595545,13.4118005441313
266,-0.0885714285714286,-0.118095238095238,-0.169285714285714,-0.225714285714286,0.100357142857143,0.133809523809524,0.129319795986463,0.129319795986463,0.108775442108775,0.108775442108775,0.147242480575814,0.147242480575814,30.8752507038556,31.1608987605131
282,-0.336428571428571,-0.336428571428571,-0.3275,-0.3275,-0.0864285714285714,-0.115238095238095,0.504683254683255,0.504683254683255,0.212641212641213,0.212641212641213,0.717765384432051,0.717765384432051,15.2627011515732,16.3530780901614
291,-0.653333333333333,-0.686,-0.386666666666667,-0.386666666666667,-0.59047619047619,-0.59047619047619,-0.115973115973116,-0.115973115973116,0.102721769388436,0.102721769388436,-0.425187091853759,-0.425187091853759,45.7429357662063,45.1321293463657
317,-0.617857142857143,-0.617857142857143,-0.385357142857143,-0.385357142857143,-0.532142857142857,-0.532142857142857,0.176176176176176,0.176176176176176,0.181967681967682,0.181967681967682,-0.431788931788932,-0.431788931788932,48.7580545173955,47.8513802728565
329,0.107142857142857,0.107142857142857,-0.0871428571428571,-0.0871428571428571,0.221785714285714,0.221785714285714,0.956670956670957,0.956670956670957,0.916952666952667,0.916952666952667,0.489131989131989,0.489131989131989,14.7379130579493,13.6258809635386
333,0.0167857142857143,0.0167857142857143,-0.1275,-0.1275,0.193214285714286,0.193214285714286,0.793150293150293,0.793150293150293,0.678893178893179,0.678893178893179,0.619047619047619,0.619047619047619,13.7140325816841,14.5095992851861
335,-0.334642857142857,-0.334642857142857,-0.256428571428571,-0.256428571428571,-0.2525,-0.336666666666667,0.0176247676247676,0.0176247676247676,0.347919347919348,0.347919347919348,-0.94375327708661,-0.94375327708661,23.879134081031,19.2166957465607
359,0.0857142857142857,0.0857142857142857,-0.225357142857143,-0.225357142857143,0.312857142857143,0.312857142857143,0.967538967538968,0.967538967538968,0.77044902044902,0.77044902044902,0.812169312169312,0.812169312169312,18.1020771216073,17.6243142553633
399,0.198928571428571,0.198928571428571,-0.0917857142857143,-0.122380952380952,0.270357142857143,0.270357142857143,0.791005291005291,0.791005291005291,0.961818961818962,0.961818961818962,0.693800943800944,0.693800943800944,29.7361599595004,24.9785118058118
